epsilon,support_csv,train_csv,output_csv,target_col,target_type,accuracy,f1_macro,mse,r2
0.1,outputs/aim_bank_sweep/eps_0_1/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_1/bank_train_imputed.csv,age,numeric,,,176.49950743709832,-0.5686806831559297
0.1,outputs/aim_bank_sweep/eps_0_1/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_1/bank_train_imputed.csv,job,categorical,0.0494,0.009414903754526397,,
0.1,outputs/aim_bank_sweep/eps_0_1/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_1/bank_train_imputed.csv,marital,categorical,0.1159,0.0692415688383069,,
0.1,outputs/aim_bank_sweep/eps_0_1/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_1/bank_train_imputed.csv,education,categorical,0.2959,0.12318045576221737,,
0.1,outputs/aim_bank_sweep/eps_0_1/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_1/bank_train_imputed.csv,housing,categorical,0.5544666666666667,0.3566925419222027,,
0.3,outputs/aim_bank_sweep/eps_0_3/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_3/bank_train_imputed.csv,age,numeric,,,173.58270476813797,-0.5427569167397182
0.3,outputs/aim_bank_sweep/eps_0_3/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_3/bank_train_imputed.csv,job,categorical,0.21163333333333334,0.03493356075820518,,
0.3,outputs/aim_bank_sweep/eps_0_3/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_3/bank_train_imputed.csv,marital,categorical,0.2826,0.14688913145173865,,
0.3,outputs/aim_bank_sweep/eps_0_3/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_3/bank_train_imputed.csv,education,categorical,0.297,0.11449498843484965,,
0.3,outputs/aim_bank_sweep/eps_0_3/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_3/bank_train_imputed.csv,housing,categorical,0.4668333333333333,0.466087849000729,,
0.5,outputs/aim_bank_sweep/eps_0_5/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_5/bank_train_imputed.csv,age,numeric,,,122.15185986105699,-0.08565324491854276
0.5,outputs/aim_bank_sweep/eps_0_5/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_5/bank_train_imputed.csv,job,categorical,0.12963333333333332,0.034951492587165935,,
0.5,outputs/aim_bank_sweep/eps_0_5/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_5/bank_train_imputed.csv,marital,categorical,0.6015,0.2503902591320637,,
0.5,outputs/aim_bank_sweep/eps_0_5/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_5/bank_train_imputed.csv,education,categorical,0.5128333333333334,0.16949432631926847,,
0.5,outputs/aim_bank_sweep/eps_0_5/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_0_5/bank_train_imputed.csv,housing,categorical,0.5544666666666667,0.3566925419222027,,
1.0,outputs/aim_bank_sweep/eps_1_0/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_1_0/bank_train_imputed.csv,age,numeric,,,114.64055788416164,-0.018894790531887473
1.0,outputs/aim_bank_sweep/eps_1_0/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_1_0/bank_train_imputed.csv,job,categorical,0.2138,0.035228208930631076,,
1.0,outputs/aim_bank_sweep/eps_1_0/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_1_0/bank_train_imputed.csv,marital,categorical,0.5348666666666667,0.2863885778874578,,
1.0,outputs/aim_bank_sweep/eps_1_0/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_1_0/bank_train_imputed.csv,education,categorical,0.5092,0.1862702241331967,,
1.0,outputs/aim_bank_sweep/eps_1_0/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_1_0/bank_train_imputed.csv,housing,categorical,0.5750666666666666,0.44931388461185434,,
1.5,outputs/aim_bank_sweep/eps_1_5/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_1_5/bank_train_imputed.csv,age,numeric,,,113.01675863517907,-0.004462894646229731
1.5,outputs/aim_bank_sweep/eps_1_5/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_1_5/bank_train_imputed.csv,job,categorical,0.16403333333333334,0.04571078771760965,,
1.5,outputs/aim_bank_sweep/eps_1_5/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_1_5/bank_train_imputed.csv,marital,categorical,0.6015,0.2503902591320637,,
1.5,outputs/aim_bank_sweep/eps_1_5/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_1_5/bank_train_imputed.csv,education,categorical,0.5128333333333334,0.16949432631926847,,
1.5,outputs/aim_bank_sweep/eps_1_5/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_1_5/bank_train_imputed.csv,housing,categorical,0.6613,0.6501874627634205,,
2.0,outputs/aim_bank_sweep/eps_2_0/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_2_0/bank_train_imputed.csv,age,numeric,,,114.12937121207065,-0.014351499337255103
2.0,outputs/aim_bank_sweep/eps_2_0/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_2_0/bank_train_imputed.csv,job,categorical,0.1148,0.024865376872149285,,
2.0,outputs/aim_bank_sweep/eps_2_0/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_2_0/bank_train_imputed.csv,marital,categorical,0.5856,0.2693807581131525,,
2.0,outputs/aim_bank_sweep/eps_2_0/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_2_0/bank_train_imputed.csv,education,categorical,0.5128666666666667,0.16961787642250295,,
2.0,outputs/aim_bank_sweep/eps_2_0/bank_support_aim_synth.csv,bank_train.csv,outputs/imputation_sweep/eps_2_0/bank_train_imputed.csv,housing,categorical,0.6507,0.6383907300485346,,
